"date","infected"
2020.05837074917,1
2020.06347371205,1
2020.06857667493,1
2020.07367963781,1
2020.07878260069,2
2020.08388556357,3
2020.08898852645,4
2020.09409148933,5
2020.09919445221,6
2020.10429741509,7
2020.10940037797,7
2020.11450334085,7
2020.11960630373,7
2020.12470926661,8
2020.12981222949,9
2020.13491519237,10
2020.14001815524,11
2020.14512111812,12
2020.150224081,14
2020.15532704388,15
2020.16043000676,16
2020.16553296964,18
2020.17063593252,20
2020.1757388954,23
2020.18084185828,25
2020.18594482116,28
2020.19104778404,30
2020.19615074692,33
2020.2012537098,37
2020.20635667268,41
2020.21145963556,46
2020.21656259844,52
2020.22166556131,58
2020.22676852419,65
2020.23187148707,73
2020.23697444995,82
2020.24207741283,92
2020.24718037571,103
2020.25228333859,116
2020.25738630147,131
2020.26248926435,148
2020.26759222723,166
2020.27269519011,188
2020.27779815299,213
2020.28290111587,241
2020.28800407875,272
2020.29310704163,307.5
2020.29821000451,348
2020.30331296738,393
2020.30841593026,444
2020.31351889314,502
2020.31862185602,567
2020.3237248189,641.5
2020.32882778178,725.5
2020.33393074466,819.5
2020.33903370754,926.5
2020.34413667042,1048.5
2020.3492396333,1185.5
2020.35434259618,1341.5
2020.35944555906,1517.5
2020.36454852194,1716.5
2020.36965148482,1939.5
2020.3747544477,2192.5
2020.37985741058,2481
2020.38496037346,2804
2020.39006333633,3173.5
2020.39516629921,3583
2020.40026926209,4052
2020.40537222497,4574
2020.41047518785,5167
2020.41557815073,5835.5
2020.42068111361,6589
2020.42578407649,7443
2020.43088703937,8409.5
2020.43599000225,9496.5
2020.44109296513,10723.5
2020.44619592801,12113.5
2020.45129889089,13684
2020.45640185377,15440.5
2020.46150481665,17416.5
2020.46660777953,19676.5
2020.4717107424,22226
2020.47681370528,25115.5
2020.48191666816,28358.5
2020.48701963104,32053.5
2020.49212259392,36189
2020.4972255568,40850.5
2020.50232851968,46113
2020.50743148256,51980.5
2020.51253444544,58521.5
2020.51763740832,65779.5
2020.5227403712,73871.5
2020.52784333408,82824
2020.53294629696,92763.5
2020.53804925984,103940.5
2020.54315222272,116407
2020.5482551856,130344.5
2020.55335814848,145803.5
2020.55846111135,162887.5
2020.56356407423,181759.5
2020.56866703711,202420.5
