Accession,SRA_Accession,Release_Date,Pangolin,Isolate,Species,Length,Sequence_Type,Genotype,Geo_Location,Host,Isolation_Source,Collection_Date,GenBank_Title
MT919768.1,,2020-08-25T00:00:00Z,B.6,GS,Severe acute respiratory syndrome-related coronavirus,29813,GenBank,,"Philippines: National Capital Region, Makati City",Homo sapiens,oronasopharynx,2020-04-03,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/GS/2020, complete genome"
MT919789.1,,2020-08-25T00:00:00Z,B.1.1,COVID-5984,Severe acute respiratory syndrome-related coronavirus,29815,GenBank,,"Philippines: NCR, Quezon City",Homo sapiens,oronasopharynx,2020-07-18,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/COVID-5984/2020, complete genome"
MT919788.1,,2020-08-25T00:00:00Z,B.1.1,COVID-5983,Severe acute respiratory syndrome-related coronavirus,29818,GenBank,,"Philippines: NCR, Pasay City",Homo sapiens,oronasopharynx,2020-07-18,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/COVID-5983/2020, complete genome"
MT919787.1,,2020-08-25T00:00:00Z,B.1.1.63,COVID-5976,Severe acute respiratory syndrome-related coronavirus,29813,GenBank,,"Philippines: NCR, Quezon City",Homo sapiens,oronasopharynx,2020-07-18,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/COVID-5976/2020, complete genome"
MT919786.1,,2020-08-25T00:00:00Z,B.1.1.63,COVID-5918,Severe acute respiratory syndrome-related coronavirus,29820,GenBank,,"Philippines: NCR, Taguig City",Homo sapiens,oronasopharynx,2020-07-17,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/COVID-5918/2020, complete genome"
MT919785.1,,2020-08-25T00:00:00Z,B.1.1.263,COVID-5698,Severe acute respiratory syndrome-related coronavirus,29815,GenBank,,"Philippines: NCR, San Juan City",Homo sapiens,oronasopharynx,2020-07-16,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/COVID-5698/2020, complete genome"
MT919783.1,,2020-08-25T00:00:00Z,B.1.1.263,COVID-5524,Severe acute respiratory syndrome-related coronavirus,29799,GenBank,,"Philippines: NCR, Caloocan City",Homo sapiens,oronasopharynx,2020-07-15,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/COVID-5524/2020, complete genome"
MT919782.1,,2020-08-25T00:00:00Z,B.1.1,COVID-5127,Severe acute respiratory syndrome-related coronavirus,29816,GenBank,,"Philippines: NCR, Taguig City",Homo sapiens,oronasopharynx,2020-07-14,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/COVID-5127/2020, complete genome"
MT919781.1,,2020-08-25T00:00:00Z,B.1.1,COVID-4837,Severe acute respiratory syndrome-related coronavirus,29805,GenBank,,"Philippines: NCR, Taguig City",Homo sapiens,oronasopharynx,2020-07-13,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/COVID-4837/2020, complete genome"
MT919778.1,,2020-08-25T00:00:00Z,B.1.1.28,COVID-4402,Severe acute respiratory syndrome-related coronavirus,29813,GenBank,,"Philippines: NCR, Pasay City",Homo sapiens,oronasopharynx,2020-07-07,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/COVID-4402/2020, complete genome"
MT919777.1,,2020-08-25T00:00:00Z,B.1.1.63,COVID-4282,Severe acute respiratory syndrome-related coronavirus,29785,GenBank,,"Philippines: NCR, Pasay City",Homo sapiens,oronasopharynx,2020-07-06,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/COVID-4282/2020, complete genome"
MT919776.1,,2020-08-25T00:00:00Z,B.1.1.28,COVID-4281,Severe acute respiratory syndrome-related coronavirus,29816,GenBank,,"Philippines: NCR, Pasay City",Homo sapiens,oronasopharynx,2020-07-06,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/COVID-4281/2020, complete genome"
MT919775.1,,2020-08-25T00:00:00Z,B.1.1.63,COVID-4149,Severe acute respiratory syndrome-related coronavirus,29865,GenBank,,"Philippines: NCR, Quezon City",Homo sapiens,oronasopharynx,2020-07-06,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/COVID-4149/2020, complete genome"
MT919774.1,,2020-08-25T00:00:00Z,B.1.1.63,COVID-3593,Severe acute respiratory syndrome-related coronavirus,29813,GenBank,,"Philippines: NCR, Quezon City",Homo sapiens,oronasopharynx,2020-06-29,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/COVID-3593/2020, complete genome"
MT919773.1,,2020-08-25T00:00:00Z,B.1.1.63,COVID-3563,Severe acute respiratory syndrome-related coronavirus,29815,GenBank,,"Philippines: NCR, Pasay City",Homo sapiens,oronasopharynx,2020-06-29,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/COVID-3563/2020, complete genome"
MT919772.1,,2020-08-25T00:00:00Z,B.1.1,COVID-3493,Severe acute respiratory syndrome-related coronavirus,29813,GenBank,,"Philippines: NCR, Quezon City",Homo sapiens,oronasopharynx,2020-06-29,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/COVID-3493/2020, complete genome"
MT919771.1,,2020-08-25T00:00:00Z,B.1.1.63,COVID-3477,Severe acute respiratory syndrome-related coronavirus,29813,GenBank,,"Philippines: NCR, Taguig City",Homo sapiens,oronasopharynx,2020-06-29,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/COVID-3477/2020, complete genome"
MT919770.1,,2020-08-25T00:00:00Z,B.1.1,COVID-3353,Severe acute respiratory syndrome-related coronavirus,29805,GenBank,,"Philippines: NCR, Quezon City",Homo sapiens,oronasopharynx,2020-06-26,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/COVID-3353/2020, complete genome"
MT919769.1,,2020-08-25T00:00:00Z,B.1.1.63,COVID-3304,Severe acute respiratory syndrome-related coronavirus,29815,GenBank,,"Philippines: NCR, Quezon City",Homo sapiens,oronasopharynx,2020-06-25,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/COVID-3304/2020, complete genome"
